location_name,location_url,search_rank,search_term,location_found
Nine Dynastic Urns,https://www.tripadvisor.com/Attraction_Review-g293926-d600402-Reviews-Nine_Dynastic_Urns-Hue_Thua_Thien_Hue_Province.html,21,"Hue, Vietnam","Hue, Vietnam"
Food Tours (29),https://www.tripadvisor.com/Attractions-g293926-Activities-c42-t204-Hue_Thua_Thien_Hue_Province.html,22,"Hue, Vietnam","Hue, Vietnam"
Thai Hoa Palace,https://www.tripadvisor.com/Attraction_Review-g293926-d451117-Reviews-Thai_Hoa_Palace-Hue_Thua_Thien_Hue_Province.html,23,"Hue, Vietnam","Hue, Vietnam"
The Mieu Temple,https://www.tripadvisor.com/Attraction_Review-g293926-d451124-Reviews-The_Mieu_Temple-Hue_Thua_Thien_Hue_Province.html,24,"Hue, Vietnam","Hue, Vietnam"
Le Ba Dang Art Museum,https://www.tripadvisor.com/Attraction_Review-g293926-d7019039-Reviews-Le_Ba_Dang_Art_Museum-Hue_Thua_Thien_Hue_Province.html,25,"Hue, Vietnam","Hue, Vietnam"
Trang Tien Bridge,https://www.tripadvisor.com/Attraction_Review-g293926-d6508197-Reviews-Trang_Tien_Bridge-Hue_Thua_Thien_Hue_Province.html,26,"Hue, Vietnam","Hue, Vietnam"
The Flag Tower,https://www.tripadvisor.com/Attraction_Review-g293926-d451118-Reviews-The_Flag_Tower-Hue_Thua_Thien_Hue_Province.html,27,"Hue, Vietnam","Hue, Vietnam"
Other Outdoor Activities (4),https://www.tripadvisor.com/Attractions-g293926-Activities-c61-t263-Hue_Thua_Thien_Hue_Province.html,28,"Hue, Vietnam","Hue, Vietnam"
Gift & Specialty Shops (11),https://www.tripadvisor.com/Attractions-g293926-Activities-c26-t144-Hue_Thua_Thien_Hue_Province.html,29,"Hue, Vietnam","Hue, Vietnam"
Bike Tours (22),https://www.tripadvisor.com/Attractions-g293926-Activities-c61-t214-Hue_Thua_Thien_Hue_Province.html,30,"Hue, Vietnam","Hue, Vietnam"
Tam Giang Lagoon,https://www.tripadvisor.com/Attraction_Review-g293926-d2416127-Reviews-Tam_Giang_Lagoon-Hue_Thua_Thien_Hue_Province.html,31,"Hue, Vietnam","Hue, Vietnam"
Eco Tours (19),https://www.tripadvisor.com/Attractions-g293926-Activities-c61-t216-Hue_Thua_Thien_Hue_Province.html,32,"Hue, Vietnam","Hue, Vietnam"
Museum of Royal Antiquities,https://www.tripadvisor.com/Attraction_Review-g293926-d555735-Reviews-Museum_of_Royal_Antiquities-Hue_Thua_Thien_Hue_Province.html,33,"Hue, Vietnam","Hue, Vietnam"
Thuan An Beach,https://www.tripadvisor.com/Attraction_Review-g293926-d4597923-Reviews-Thuan_An_Beach-Hue_Thua_Thien_Hue_Province.html,34,"Hue, Vietnam","Hue, Vietnam"
Huyen Tran Princess Temple,https://www.tripadvisor.com/Attraction_Review-g293926-d6106529-Reviews-Huyen_Tran_Princess_Temple-Hue_Thua_Thien_Hue_Province.html,35,"Hue, Vietnam","Hue, Vietnam"
Dong Ba Market,https://www.tripadvisor.com/Attraction_Review-g293926-d2519037-Reviews-Dong_Ba_Market-Hue_Thua_Thien_Hue_Province.html,36,"Hue, Vietnam","Hue, Vietnam"
Zipline & Aerial Adventure Parks (1),https://www.tripadvisor.com/Attractions-g293926-Activities-c61-t245-Hue_Thua_Thien_Hue_Province.html,37,"Hue, Vietnam","Hue, Vietnam"
Taxis & Shuttles (25),https://www.tripadvisor.com/Attractions-g293926-Activities-c59-t182-Hue_Thua_Thien_Hue_Province.html,38,"Hue, Vietnam","Hue, Vietnam"
Quoc Hoc Hue High School for the Gifted,https://www.tripadvisor.com/Attraction_Review-g293926-d554928-Reviews-Quoc_Hoc_Hue_High_School_for_the_Gifted-Hue_Thua_Thien_Hue_Province.html,39,"Hue, Vietnam","Hue, Vietnam"
Tiger Arena,https://www.tripadvisor.com/Attraction_Review-g293926-d6224999-Reviews-Tiger_Arena-Hue_Thua_Thien_Hue_Province.html,40,"Hue, Vietnam","Hue, Vietnam"
Photography Tours (5),https://www.tripadvisor.com/Attractions-g293926-Activities-c42-t269-Hue_Thua_Thien_Hue_Province.html,41,"Hue, Vietnam","Hue, Vietnam"
Boat Tours (21),https://www.tripadvisor.com/Attractions-g293926-Activities-c61-t167-Hue_Thua_Thien_Hue_Province.html,42,"Hue, Vietnam","Hue, Vietnam"
Notre Dame Cathedral,https://www.tripadvisor.com/Attraction_Review-g293926-d6204773-Reviews-Notre_Dame_Cathedral-Hue_Thua_Thien_Hue_Province.html,43,"Hue, Vietnam","Hue, Vietnam"
Self-Guided Tours & Rentals (3),https://www.tripadvisor.com/Attractions-g293926-Activities-c42-t237-Hue_Thua_Thien_Hue_Province.html,44,"Hue, Vietnam","Hue, Vietnam"
Green Bamboo Art Gallery,https://www.tripadvisor.com/Attraction_Review-g293926-d6936367-Reviews-Green_Bamboo_Art_Gallery-Hue_Thua_Thien_Hue_Province.html,45,"Hue, Vietnam","Hue, Vietnam"
Gear Rentals (7),https://www.tripadvisor.com/Attractions-g293926-Activities-c61-t186-Hue_Thua_Thien_Hue_Province.html,46,"Hue, Vietnam","Hue, Vietnam"
Hue's Garden Houses,https://www.tripadvisor.com/Attraction_Review-g293926-d4795480-Reviews-Hue_s_Garden_Houses-Hue_Thua_Thien_Hue_Province.html,47,"Hue, Vietnam","Hue, Vietnam"
Bus Transportation (2),https://www.tripadvisor.com/Attractions-g293926-Activities-c59-t258-Hue_Thua_Thien_Hue_Province.html,48,"Hue, Vietnam","Hue, Vietnam"
Cat Tuong Quan Zen House,https://www.tripadvisor.com/Attraction_Review-g293926-d5895985-Reviews-Cat_Tuong_Quan_Zen_House-Hue_Thua_Thien_Hue_Province.html,49,"Hue, Vietnam","Hue, Vietnam"
Ho Chi Minh museum,https://www.tripadvisor.com/Attraction_Review-g293926-d4186902-Reviews-Ho_Chi_Minh_museum-Hue_Thua_Thien_Hue_Province.html,50,"Hue, Vietnam","Hue, Vietnam"
Thuy Tien Lake,https://www.tripadvisor.com/Attraction_Review-g293926-d11620834-Reviews-Thuy_Tien_Lake-Hue_Thua_Thien_Hue_Province.html,51,"Hue, Vietnam","Hue, Vietnam"
Lang Co Beach,https://www.tripadvisor.com/Attraction_Review-g293926-d11437075-Reviews-Lang_Co_Beach-Hue_Thua_Thien_Hue_Province.html,52,"Hue, Vietnam","Hue, Vietnam"
Dam Chuon Huong Quan,https://www.tripadvisor.com/Attraction_Review-g293926-d9563786-Reviews-Dam_Chuon_Huong_Quan-Hue_Thua_Thien_Hue_Province.html,53,"Hue, Vietnam","Hue, Vietnam"
Phu Cam Cathedral,https://www.tripadvisor.com/Attraction_Review-g293926-d8091159-Reviews-Phu_Cam_Cathedral-Hue_Thua_Thien_Hue_Province.html,54,"Hue, Vietnam","Hue, Vietnam"
Phu Mong Garden House,https://www.tripadvisor.com/Attraction_Review-g293926-d7073497-Reviews-Phu_Mong_Garden_House-Hue_Thua_Thien_Hue_Province.html,55,"Hue, Vietnam","Hue, Vietnam"
Lang Co Beach,https://www.tripadvisor.com/Attraction_Review-g293926-d11621895-Reviews-Lang_Co_Beach-Hue_Thua_Thien_Hue_Province.html,56,"Hue, Vietnam","Hue, Vietnam"
Halls of the Mandarins,https://www.tripadvisor.com/Attraction_Review-g293926-d554166-Reviews-Halls_of_the_Mandarins-Hue_Thua_Thien_Hue_Province.html,57,"Hue, Vietnam","Hue, Vietnam"
Hue Local Farmer's Direct Sales Store,https://www.tripadvisor.com/Attraction_Review-g293926-d7927677-Reviews-Hue_Local_Farmer_s_Direct_Sales_Store-Hue_Thua_Thien_Hue_Province.html,58,"Hue, Vietnam","Hue, Vietnam"
Day Trips (14),https://www.tripadvisor.com/Attractions-g293926-Activities-c42-t287-Hue_Thua_Thien_Hue_Province.html,59,"Hue, Vietnam","Hue, Vietnam"
Bars & Clubs (4),https://www.tripadvisor.com/Attractions-g293926-Activities-c20-t99-Hue_Thua_Thien_Hue_Province.html,60,"Hue, Vietnam","Hue, Vietnam"
Night Tours (5),https://www.tripadvisor.com/Attractions-g293926-Activities-c42-t233-Hue_Thua_Thien_Hue_Province.html,61,"Hue, Vietnam","Hue, Vietnam"
Adrenaline & Extreme Tours (1),https://www.tripadvisor.com/Attractions-g293926-Activities-c61-t212-Hue_Thua_Thien_Hue_Province.html,62,"Hue, Vietnam","Hue, Vietnam"
Dieu De Pagoda,https://www.tripadvisor.com/Attraction_Review-g293926-d9705672-Reviews-Dieu_De_Pagoda-Hue_Thua_Thien_Hue_Province.html,63,"Hue, Vietnam","Hue, Vietnam"
Les Peres Redemptoristes church,https://www.tripadvisor.com/Attraction_Review-g293926-d555729-Reviews-Les_Peres_Redemptoristes_church-Hue_Thua_Thien_Hue_Province.html,64,"Hue, Vietnam","Hue, Vietnam"
Hon Chen Temple,https://www.tripadvisor.com/Attraction_Review-g293926-d8115964-Reviews-Hon_Chen_Temple-Hue_Thua_Thien_Hue_Province.html,65,"Hue, Vietnam","Hue, Vietnam"
Hue Water Puppet Theatre,https://www.tripadvisor.com/Attraction_Review-g293926-d6956754-Reviews-Hue_Water_Puppet_Theatre-Hue_Thua_Thien_Hue_Province.html,66,"Hue, Vietnam","Hue, Vietnam"
Luc Bo Culture Space,https://www.tripadvisor.com/Attraction_Review-g293926-d11680443-Reviews-Luc_Bo_Culture_Space-Hue_Thua_Thien_Hue_Province.html,67,"Hue, Vietnam","Hue, Vietnam"
Elephant Springs,https://www.tripadvisor.com/Attraction_Review-g293926-d11434323-Reviews-Elephant_Springs-Hue_Thua_Thien_Hue_Province.html,68,"Hue, Vietnam","Hue, Vietnam"
Big C Market,https://www.tripadvisor.com/Attraction_Review-g293926-d12125324-Reviews-Big_C_Market-Hue_Thua_Thien_Hue_Province.html,69,"Hue, Vietnam","Hue, Vietnam"
"Vespa, Scooter & Moped Tours (6)",https://www.tripadvisor.com/Attractions-g293926-Activities-c42-t239-Hue_Thua_Thien_Hue_Province.html,70,"Hue, Vietnam","Hue, Vietnam"
Huyen Khong Son Thuong Pagoda,https://www.tripadvisor.com/Attraction_Review-g293926-d10818173-Reviews-Huyen_Khong_Son_Thuong_Pagoda-Hue_Thua_Thien_Hue_Province.html,71,"Hue, Vietnam","Hue, Vietnam"
Dong Ba Market,https://www.tripadvisor.com/Attraction_Review-g293926-d10804857-Reviews-Dong_Ba_Market-Hue_Thua_Thien_Hue_Province.html,72,"Hue, Vietnam","Hue, Vietnam"
Vong Canh Hill,https://www.tripadvisor.com/Attraction_Review-g293926-d12003409-Reviews-Vong_Canh_Hill-Hue_Thua_Thien_Hue_Province.html,73,"Hue, Vietnam","Hue, Vietnam"
Cooking Classes (11),https://www.tripadvisor.com/Attractions-g293926-Activities-c36-t203-Hue_Thua_Thien_Hue_Province.html,74,"Hue, Vietnam","Hue, Vietnam"
"4WD, ATV & Off-Road Tours (5)",https://www.tripadvisor.com/Attractions-g293926-Activities-c61-t211-Hue_Thua_Thien_Hue_Province.html,75,"Hue, Vietnam","Hue, Vietnam"
Let's Hue,https://www.tripadvisor.com/Attraction_Review-g293926-d10507521-Reviews-Let_s_Hue-Hue_Thua_Thien_Hue_Province.html,76,"Hue, Vietnam","Hue, Vietnam"
Coffee & Tea Tours (2),https://www.tripadvisor.com/Attractions-g293926-Activities-c42-t202-Hue_Thua_Thien_Hue_Province.html,77,"Hue, Vietnam","Hue, Vietnam"
Fishing Charters & Tours (2),https://www.tripadvisor.com/Attractions-g293926-Activities-c61-t217-Hue_Thua_Thien_Hue_Province.html,78,"Hue, Vietnam","Hue, Vietnam"
Dan Nam Giao,https://www.tripadvisor.com/Attraction_Review-g293926-d6224444-Reviews-Dan_Nam_Giao-Hue_Thua_Thien_Hue_Province.html,79,"Hue, Vietnam","Hue, Vietnam"
"Bar, Club & Pub Tours (1)",https://www.tripadvisor.com/Attractions-g293926-Activities-c20-t240-Hue_Thua_Thien_Hue_Province.html,80,"Hue, Vietnam","Hue, Vietnam"
Thien An Monastery,https://www.tripadvisor.com/Attraction_Review-g293926-d10813361-Reviews-Thien_An_Monastery-Hue_Thua_Thien_Hue_Province.html,81,"Hue, Vietnam","Hue, Vietnam"
Walking Tours (6),https://www.tripadvisor.com/Attractions-g293926-Activities-c42-t183-Hue_Thua_Thien_Hue_Province.html,82,"Hue, Vietnam","Hue, Vietnam"
Elephan Re Temple (Long Chau Temple),https://www.tripadvisor.com/Attraction_Review-g293926-d12242659-Reviews-Elephan_Re_Temple_Long_Chau_Temple-Hue_Thua_Thien_Hue_Province.html,83,"Hue, Vietnam","Hue, Vietnam"
Hop-On Hop-Off Tours (2),https://www.tripadvisor.com/Attractions-g293926-Activities-c42-t229-Hue_Thua_Thien_Hue_Province.html,84,"Hue, Vietnam","Hue, Vietnam"
Vo Thanh Hue,https://www.tripadvisor.com/Attraction_Review-g293926-d10813260-Reviews-Vo_Thanh_Hue-Hue_Thua_Thien_Hue_Province.html,85,"Hue, Vietnam","Hue, Vietnam"
Hue Temple,https://www.tripadvisor.com/Attraction_Review-g293926-d10798520-Reviews-Hue_Temple-Hue_Thua_Thien_Hue_Province.html,86,"Hue, Vietnam","Hue, Vietnam"
Health/Fitness Clubs & Gyms (1),https://www.tripadvisor.com/Attractions-g293926-Activities-c40-t129-Hue_Thua_Thien_Hue_Province.html,87,"Hue, Vietnam","Hue, Vietnam"
Nature & Wildlife Tours (6),https://www.tripadvisor.com/Attractions-g293926-Activities-c61-t220-Hue_Thua_Thien_Hue_Province.html,88,"Hue, Vietnam","Hue, Vietnam"
Multi-day Tours (2),https://www.tripadvisor.com/Attractions-g293926-Activities-c42-t288-Hue_Thua_Thien_Hue_Province.html,89,"Hue, Vietnam","Hue, Vietnam"
Beer Tastings & Tours (1),https://www.tripadvisor.com/Attractions-g293926-Activities-c42-t201-Hue_Thua_Thien_Hue_Province.html,90,"Hue, Vietnam","Hue, Vietnam"
Thermal Spas (2),https://www.tripadvisor.com/Attractions-g293926-Activities-c40-t255-Hue_Thua_Thien_Hue_Province.html,91,"Hue, Vietnam","Hue, Vietnam"
Lessons & Workshops (1),https://www.tripadvisor.com/Attractions-g293926-Activities-c41-t185-Hue_Thua_Thien_Hue_Province.html,92,"Hue, Vietnam","Hue, Vietnam"
Bus Tours (6),https://www.tripadvisor.com/Attractions-g293926-Activities-c42-t174-Hue_Thua_Thien_Hue_Province.html,93,"Hue, Vietnam","Hue, Vietnam"
Climbing Tours (2),https://www.tripadvisor.com/Attractions-g293926-Activities-c61-t215-Hue_Thua_Thien_Hue_Province.html,94,"Hue, Vietnam","Hue, Vietnam"
Kayaking & Canoeing (1),https://www.tripadvisor.com/Attractions-g293926-Activities-c61-t191-Hue_Thua_Thien_Hue_Province.html,95,"Hue, Vietnam","Hue, Vietnam"
Boat Rentals (1),https://www.tripadvisor.com/Attractions-g293926-Activities-c61-t187-Hue_Thua_Thien_Hue_Province.html,96,"Hue, Vietnam","Hue, Vietnam"
Performances (3),https://www.tripadvisor.com/Attractions-g293926-Activities-c58-t111-Hue_Thua_Thien_Hue_Province.html,97,"Hue, Vietnam","Hue, Vietnam"
Bach Ma National Park,https://www.tripadvisor.com/Attraction_Review-g293926-d11900461-Reviews-Bach_Ma_National_Park-Hue_Thua_Thien_Hue_Province.html,98,"Hue, Vietnam","Hue, Vietnam"
Tu Hieu Pagoda,https://www.tripadvisor.com/Attraction_Review-g293926-d10798554-Reviews-Tu_Hieu_Pagoda-Hue_Thua_Thien_Hue_Province.html,99,"Hue, Vietnam","Hue, Vietnam"
Virgo Travel,https://www.tripadvisor.com/Attraction_Review-g293926-d10794954-Reviews-Virgo_Travel-Hue_Thua_Thien_Hue_Province.html,100,"Hue, Vietnam","Hue, Vietnam"
